".id","GO.ID","GO.TERM","description","source"
"g2202","GO:0006351","P","transcription, DNA-templated","IEA:UniProtKB-KW"
"g2700","GO:0005783","C","endoplasmic reticulum","IDA:WormBase"
"g2700","GO:0005506","F","iron ion binding","IEA:InterPro"
"g2700","GO:0031418","F","L-ascorbic acid binding","IEA:UniProtKB-KW"
"g2700","GO:0016702","F","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","IEA:InterPro"
"g2700","GO:0031545","F","peptidyl-proline 4-dioxygenase activity","IDA:WormBase"
"g2700","GO:0004656","F","procollagen-proline 4-dioxygenase activity","IEA:UniProtKB-EC"
"g2700","GO:0043412","P","macromolecule modification","IDA:WormBase"
"g2700","GO:0055114","P","oxidation-reduction process","IDA:WormBase"
"g2700","GO:0019511","P","peptidyl-proline hydroxylation","IDA:GOC"
"g18489","GO:0005576","C","extracellular region","IEA:UniProtKB-KW"
"g18489","GO:0042742","P","defense response to bacterium","IEA:UniProtKB-KW"
"g18489","GO:0050832","P","defense response to fungus","IEA:UniProtKB-KW"
"g18489","GO:0045087","P","innate immune response","IEA:UniProtKB-KW"
"g18489","GO:0031640","P","killing of cells of other organism","IEA:UniProtKB-KW"
"g19742","GO:0005576","C","extracellular region","IEA:UniProtKB-KW"
"g19742","GO:0042742","P","defense response to bacterium","IEA:UniProtKB-KW"
"g19742","GO:0050832","P","defense response to fungus","IEA:UniProtKB-KW"
"g19742","GO:0045087","P","innate immune response","IEA:UniProtKB-KW"
"g19742","GO:0031640","P","killing of cells of other organism","IEA:UniProtKB-KW"
"g5497","GO:0016021","C","integral component of membrane","IEA:UniProtKB-KW"
"g5497","GO:0015114","F","phosphate ion transmembrane transporter activity","IEA:InterPro"
"g5497","GO:0015293","F","symporter activity","IEA:UniProtKB-KW"
"g5497","GO:0006814","P","sodium ion transport","IEA:UniProtKB-KW"
"g13303","GO:0016021","C","integral component of membrane","IEA:UniProtKB-KW"
"g13303","GO:0015114","F","phosphate ion transmembrane transporter activity","IEA:InterPro"
"g13303","GO:0015293","F","symporter activity","IEA:UniProtKB-KW"
"g13303","GO:0006814","P","sodium ion transport","IEA:UniProtKB-KW"
