ids,Swiss-Prot Hit,GO Annotation
g2013,PDZ and LIM domain protein Zasp,GO:0015629; C:actin cytoskeleton; IDA:UniProtKB; GO:0005927; C:muscle tendon junction; IDA:FlyBase; GO:0030018; C:Z disc; IDA:FlyBase; GO:0003779; F:actin binding; IPI:UniProtKB; GO:0051371; F:muscle alpha-actinin binding; IMP:UniProtKB; GO:0008270; F:zinc ion binding; IEA:InterPro; GO:0061061; P:muscle structure development; IMP:FlyBase; GO:0030239; P:myofibril assembly; IMP:FlyBase; GO:0001952; P:regulation of cell-matrix adhesion; IMP:UniProtKB
g4019,Putative transcription factor SOX-14,"GO:0005634; C:nucleus; IMP:FlyBase; GO:0008301; F:DNA binding, bending; IDA:FlyBase; GO:0043565; F:sequence-specific DNA binding; IDA:FlyBase; GO:0048813; P:dendrite morphogenesis; IGI:FlyBase; GO:0007552; P:metamorphosis; IMP:FlyBase; GO:0016322; P:neuron remodeling; IMP:FlyBase; GO:0006357; P:regulation of transcription from RNA polymerase II promoter; IMP:FlyBase; GO:0006351; P:transcription, DNA-templated; IEA:UniProtKB-KW"
g4831,Calpain-D,GO:0005737; C:cytoplasm; NAS:FlyBase; GO:0005622; C:intracellular; ISS:UniProtKB; GO:0004198; F:calcium-dependent cysteine-type endopeptidase activity; ISS:UniProtKB; GO:0008270; F:zinc ion binding; IEA:InterPro; GO:0007399; P:nervous system development; IMP:UniProtKB; GO:0006508; P:proteolysis; ISS:UniProtKB; GO:0050896; P:response to stimulus; IEA:UniProtKB-KW; GO:0007601; P:visual perception; IEA:UniProtKB-KW
g359,Poly(A) polymerase,GO:0005847; C:mRNA cleavage and polyadenylation specificity factor complex; ISS:dictyBase; GO:0005634; C:nucleus; IBA:RefGenome; GO:0005524; F:ATP binding; IEA:UniProtKB-KW; GO:0046872; F:metal ion binding; IEA:UniProtKB-KW; GO:0004652; F:polynucleotide adenylyltransferase activity; ISS:dictyBase; GO:0003723; F:RNA binding; IEA:UniProtKB-KW; GO:0006378; P:mRNA polyadenylation; ISS:dictyBase
g1368,Probable serine/threonine-protein kinase vps15,GO:0000139; C:Golgi membrane; ISS:dictyBase; GO:0005524; F:ATP binding; IEA:UniProtKB-KW; GO:0004674; F:protein serine/threonine kinase activity; ISS:dictyBase; GO:0006468; P:protein phosphorylation; ISS:dictyBase; GO:0045053; P:protein retention in Golgi apparatus; ISS:dictyBase; GO:0006623; P:protein targeting to vacuole; ISS:dictyBase; GO:0007034; P:vacuolar transport; ISS:dictyBase
g12699,N/A,N/A
g13662,Protein goliath,"GO:0005768; C:endosome; IDA:FlyBase; GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW; GO:0005634; C:nucleus; NAS:UniProtKB; GO:0003677; F:DNA binding; IEA:UniProtKB-KW; GO:0008270; F:zinc ion binding; ISM:FlyBase; GO:0001707; P:mesoderm formation; IEP:UniProtKB; GO:0016567; P:protein ubiquitination; IMP:FlyBase; GO:0006355; P:regulation of transcription, DNA-templated; IEA:UniProtKB-KW; GO:0006351; P:transcription, DNA-templated; IEA:UniProtKB-KW"
g4804,N/A,N/A
g18862,Circadian locomoter output cycles protein kaput,"GO:0005737; C:cytoplasm; IEA:InterPro; GO:0005634; C:nucleus; NAS:FlyBase; GO:0005667; C:transcription factor complex; IEA:InterPro; GO:0003677; F:DNA binding; NAS:UniProtKB; GO:0046982; F:protein heterodimerization activity; IPI:FlyBase; GO:0003700; F:sequence-specific DNA binding transcription factor activity; IEA:InterPro; GO:0004871; F:signal transducer activity; IEA:InterPro; GO:0008134; F:transcription factor binding; IPI:FlyBase; GO:0048148; P:behavioral response to cocaine; NAS:FlyBase; GO:0032922; P:circadian regulation of gene expression; IMP:FlyBase; GO:0007623; P:circadian rhythm; IMP:UniProtKB; GO:0008062; P:eclosion rhythm; NAS:FlyBase; GO:0045475; P:locomotor rhythm; IMP:FlyBase; GO:0000122; P:negative regulation of transcription from RNA polymerase II promoter; NAS:FlyBase; GO:0045944; P:positive regulation of transcription from RNA polymerase II promoter; IDA:FlyBase; GO:0045893; P:positive regulation of transcription, DNA-templated; IGI:UniProtKB; GO:0045187; P:regulation of circadian sleep/wake cycle, sleep; IMP:FlyBase; GO:0007622; P:rhythmic behavior; TAS:FlyBase; GO:0006351; P:transcription, DNA-templated; IEA:UniProtKB-KW"
g5257,Uncharacterized protein F13E6.1,N/A
g2586,Kinesin heavy chain,GO:0005737; C:cytoplasm; IEA:UniProtKB-KW; GO:0005871; C:kinesin complex; IEA:InterPro; GO:0005874; C:microtubule; IEA:UniProtKB-KW; GO:0005524; F:ATP binding; IEA:UniProtKB-KW; GO:0003777; F:microtubule motor activity; IEA:InterPro; GO:0007018; P:microtubule-based movement; IEA:InterPro
g281,Flightin,GO:0031672; C:A band; IDA:FlyBase; GO:0005863; C:striated muscle myosin thick filament; IDA:FlyBase; GO:0008307; F:structural constituent of muscle; IMP:FlyBase; GO:0097493; F:structural molecule activity conferring elasticity; IMP:FlyBase; GO:0007527; P:adult somatic muscle development; IMP:FlyBase; GO:0014703; P:oscillatory muscle contraction; IMP:FlyBase; GO:0045214; P:sarcomere organization; IMP:FlyBase; GO:0030241; P:skeletal muscle myosin thick filament assembly; IMP:FlyBase; GO:0071688; P:striated muscle myosin thick filament assembly; IDA:FlyBase
g10199,Uncharacterized RING finger protein C02B8.6,GO:0008270; F:zinc ion binding; IEA:InterPro
g11499,Restin homolog,GO:0045169; C:fusome; IDA:FlyBase; GO:0005794; C:Golgi apparatus; IDA:UniProtKB; GO:0000776; C:kinetochore; IDA:FlyBase; GO:0005875; C:microtubule associated complex; IDA:UniProtKB; GO:0005876; C:spindle microtubule; IDA:FlyBase; GO:0003779; F:actin binding; IDA:UniProtKB; GO:0008017; F:microtubule binding; IDA:UniProtKB; GO:0051010; F:microtubule plus-end binding; IDA:FlyBase; GO:0007349; P:cellularization; IMP:UniProtKB; GO:0007017; P:microtubule-based process; ISS:FlyBase
g14711,Protein transport protein SEC24,GO:0030127; C:COPII vesicle coat; IEA:InterPro; GO:0005783; C:endoplasmic reticulum; IEA:UniProtKB-KW; GO:0005794; C:Golgi apparatus; IEA:UniProtKB-KW; GO:0008270; F:zinc ion binding; IEA:InterPro; GO:0006888; P:ER to Golgi vesicle-mediated transport; IEA:InterPro; GO:0006886; P:intracellular protein transport; IEA:InterPro
g2066,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase P,"GO:0005794; C:Golgi apparatus; IEA:UniProtKB-KW; GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW; GO:0046988; F:asioloorosomucoid beta-1,3-glucuronosyltransferase activity; IDA:FlyBase; GO:0046989; F:galactosyl beta-1,3 N-acetylgalactosamine beta-1,3-glucuronosyltransferase activity; IDA:FlyBase; GO:0015018; F:galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase activity; IDA:FlyBase; GO:0046872; F:metal ion binding; IEA:UniProtKB-KW; GO:0046987; F:N-acetyllactosamine beta-1,3-glucuronosyltransferase activity; IDA:FlyBase; GO:0009101; P:glycoprotein biosynthetic process; NAS:FlyBase; GO:0006688; P:glycosphingolipid biosynthetic process; NAS:FlyBase; GO:0007422; P:peripheral nervous system development; IMP:FlyBase; GO:0006486; P:protein glycosylation; IEA:UniProtKB-UniPathway; GO:0030166; P:proteoglycan biosynthetic process; NAS:FlyBase"
g6930,Patronin,GO:0005813; C:centrosome; IDA:FlyBase; GO:0005737; C:cytoplasm; IEA:UniProtKB-KW; GO:0005874; C:microtubule; IEA:UniProtKB-KW; GO:0030496; C:midbody; IDA:FlyBase; GO:0005819; C:spindle; IDA:FlyBase; GO:0051011; F:microtubule minus-end binding; IDA:FlyBase; GO:0051013; P:microtubule severing; IMP:FlyBase; GO:0000022; P:mitotic spindle elongation; IMP:FlyBase; GO:0007026; P:negative regulation of microtubule depolymerization; IMP:FlyBase
g8369,Cyclin-dependent kinase 5 homolog,GO:0005524; F:ATP binding; IEA:UniProtKB-KW; GO:0004693; F:cyclin-dependent protein serine/threonine kinase activity; IEA:UniProtKB-EC; GO:0007049; P:cell cycle; IEA:UniProtKB-KW; GO:0051301; P:cell division; IEA:UniProtKB-KW
g5350,"Gelsolin, cytoplasmic",GO:0005737; C:cytoplasm; IEA:UniProtKB-KW; GO:0005856; C:cytoskeleton; IEA:UniProtKB-KW; GO:0046872; F:metal ion binding; IEA:UniProtKB-KW; GO:0051693; P:actin filament capping; IEA:UniProtKB-KW
g5596,MEMO1 family protein tag-253,N/A
g20236,N/A,N/A
g17972,Probable 3-hydroxyacyl-CoA dehydrogenase F54C8.1,GO:0005739; C:mitochondrion; IEA:UniProtKB-KW; GO:0003857; F:3-hydroxyacyl-CoA dehydrogenase activity; IEA:UniProtKB-EC; GO:0070403; F:NAD+ binding; IEA:InterPro; GO:0006635; P:fatty acid beta-oxidation; IEA:UniProtKB-UniPathway
g20691,N/A,N/A
g11873,N/A,N/A
g14066,Mariner Mos1 transposase,GO:0005634; C:nucleus; IEA:UniProtKB-KW; GO:0003677; F:DNA binding; IEA:UniProtKB-KW; GO:0004519; F:endonuclease activity; IEA:UniProtKB-KW; GO:0046872; F:metal ion binding; IEA:UniProtKB-KW; GO:0015074; P:DNA integration; IEA:UniProtKB-KW; GO:0006310; P:DNA recombination; IEA:UniProtKB-KW
g18024,N/A,N/A
g2384,Putative odorant-binding protein A10,GO:0005576; C:extracellular region; ISM:FlyBase
g4207,Hemoglobinase,GO:0004197; F:cysteine-type endopeptidase activity; IEA:InterPro
g1808,N/A,N/A
g1040,N/A,N/A
g3318,Cytosolic carboxypeptidase 6,GO:0005737; C:cytoplasm; IEA:UniProtKB-KW; GO:0004181; F:metallocarboxypeptidase activity; TAS:UniProtKB; GO:0008270; F:zinc ion binding; IEA:InterPro; GO:0035608; P:protein deglutamylation; IMP:UniProtKB; GO:0006508; P:proteolysis; IDA:WormBase
g3080,Uncharacterized protein ZK632.12,GO:0046872; F:metal ion binding; IEA:UniProtKB-KW; GO:0032266; F:phosphatidylinositol-3-phosphate binding; ISS:WormBase
g15661,Peroxidasin,GO:0005578; C:proteinaceous extracellular matrix; ISS:FlyBase; GO:0020037; F:heme binding; IEA:InterPro; GO:0046872; F:metal ion binding; IEA:UniProtKB-KW; GO:0004601; F:peroxidase activity; IEA:UniProtKB-KW; GO:0030198; P:extracellular matrix organization; IMP:UniProtKB; GO:0042744; P:hydrogen peroxide catabolic process; IEA:UniProtKB-KW; GO:0006909; P:phagocytosis; IMP:UniProtKB
g13895,Ryanodine receptor 44F,GO:0016021; C:integral component of membrane; NAS:UniProtKB; GO:0005875; C:microtubule associated complex; IDA:FlyBase; GO:0016529; C:sarcoplasmic reticulum; IEA:UniProtKB-KW; GO:0005509; F:calcium ion binding; IEA:InterPro; GO:0005219; F:ryanodine-sensitive calcium-release channel activity; TAS:UniProtKB; GO:0006816; P:calcium ion transport; TAS:UniProtKB; GO:0006874; P:cellular calcium ion homeostasis; IEA:InterPro; GO:0060047; P:heart contraction; IMP:FlyBase; GO:0007275; P:multicellular organismal development; IEA:UniProtKB-KW; GO:0006936; P:muscle contraction; IMP:UniProtKB; GO:0035206; P:regulation of hemocyte proliferation; IMP:FlyBase; GO:0072347; P:response to anesthetic; IMP:FlyBase
g6874,Xanthine dehydrogenase,"GO:0005777; C:peroxisome; IEA:UniProtKB-KW; GO:0051537; F:2 iron, 2 sulfur cluster binding; ISS:UniProtKB; GO:0009055; F:electron carrier activity; IEA:InterPro; GO:0050660; F:flavin adenine dinucleotide binding; ISS:UniProtKB; GO:0005506; F:iron ion binding; IEA:InterPro; GO:0043546; F:molybdopterin cofactor binding; ISS:UniProtKB; GO:0008762; F:UDP-N-acetylmuramate dehydrogenase activity; IEA:InterPro; GO:0004854; F:xanthine dehydrogenase activity; ISS:UniProtKB; GO:0004855; F:xanthine oxidase activity; IEA:InterPro; GO:0009115; P:xanthine catabolic process; ISS:UniProtKB"
g14228,"Serine protease HTRA2, mitochondrial {ECO:0000250|UniProtKB:Q9VFJ3}",GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW; GO:0005739; C:mitochondrion; IEA:UniProtKB-KW; GO:0004252; F:serine-type endopeptidase activity; IEA:InterPro; GO:0006915; P:apoptotic process; IEA:UniProtKB-KW
g11293,Uncharacterized protein DDB_G0287347,GO:0051260; P:protein homooligomerization; IEA:InterPro
g1567,Zinc finger protein Noc,"GO:0005634; C:nucleus; ISS:FlyBase; GO:0003677; F:DNA binding; IEA:UniProtKB-KW; GO:0046872; F:metal ion binding; IEA:UniProtKB-KW; GO:0007420; P:brain development; IMP:UniProtKB; GO:0008283; P:cell proliferation; IGI:FlyBase; GO:0035214; P:eye-antennal disc development; IGI:FlyBase; GO:0002121; P:inter-male aggressive behavior; IMP:FlyBase; GO:0035218; P:leg disc development; IMP:UniProtKB; GO:0010629; P:negative regulation of gene expression; IMP:FlyBase; GO:0007219; P:Notch signaling pathway; IEA:UniProtKB-KW; GO:0008056; P:ocellus development; IMP:UniProtKB; GO:0007424; P:open tracheal system development; IMP:FlyBase; GO:0006357; P:regulation of transcription from RNA polymerase II promoter; ISS:FlyBase; GO:0007430; P:terminal branching, open tracheal system; IMP:UniProtKB; GO:0035220; P:wing disc development; IMP:UniProtKB"
g17886;g9532;,Probable 4-coumarate--CoA ligase 2,GO:0016207; F:4-coumarate-CoA ligase activity; IEA:UniProtKB-EC; GO:0005524; F:ATP binding; IEA:UniProtKB-KW; GO:0009698; P:phenylpropanoid metabolic process; IEA:UniProtKB-KW
g15420,N/A,N/A
g14604;,N/A,N/A
g672,,
g2115,,
g2489,,
g3463,,
g5069,,
g5518,,
g6070,,
g6478,,
g11094,,
g12097,,
g12719,,
g14124,,
g14390,,
g14609,,
g14974,,
g16800,,
g17218,,
g18336,,
